Mooring Name,Latitude,Longitude,Date,Time,SST_C,Salinity
HOG_REEF_64W_32N,32.457,-64.835,11/25/2017,15:17,24.173,36.572
HOG_REEF_64W_32N,32.457,-64.835,11/25/2017,18:17,24.317,36.586
HOG_REEF_64W_32N,32.457,-64.835,11/25/2017,21:17,24.334,36.59
HOG_REEF_64W_32N,32.457,-64.835,11/26/2017,0:17,24.276,36.592
HOG_REEF_64W_32N,32.457,-64.835,11/26/2017,3:17,24.203,36.595
HOG_REEF_64W_32N,32.457,-64.835,11/26/2017,6:17,24.125,36.591
HOG_REEF_64W_32N,32.457,-64.835,11/26/2017,9:17,24.12,36.595
HOG_REEF_64W_32N,32.457,-64.835,11/26/2017,12:17,24.187,36.598
HOG_REEF_64W_32N,32.457,-64.835,11/26/2017,15:17,24.381,36.598
HOG_REEF_64W_32N,32.457,-64.835,11/26/2017,18:17,24.47,36.598
HOG_REEF_64W_32N,32.457,-64.835,11/26/2017,21:17,24.458,36.597
