Sample Name_file,Trimming,Sample,Coral.ID,History,Life_Stage,Gel_Result,Extraction_Date,PMS_Date,percent_mCpG,percent_mCHG,percent_mCHH,M_Cs,percent_Dups,percent_Aligned,Ins_size,Median_cov,Mean_cov,R1_percent_BP_Trimmed,R1_percent_Dups,R1_percent_GC,R1_M_Seqs,R2_percent_BP_Trimmed,R2_percent_Dups,R2_percent_GC,R2_M_Seqs
18-334_S164_L004_R1_001_val_1,Trim_3,18-334,P-19-B,Patch-Heated-Rim,Adult,High Molecular Weight,20200819,20210422,8.80%,0.70%,0.90%,123,9.90%,31.70%,143,0.0X,1.3X,8.20%,11.40%,24%,16.4,8.30%,11.40%,25%,16.4
18-358_S201_L004_R1_001_val_1,Trim_3,18-358,P-10-A,Patch-Ambient-Patch,Adult,High Molecular Weight,20200806,20210511,8.00%,1.30%,2.10%,337.7,21.10%,33.00%,93,2.0X,4.0X,21.50%,25.50%,31%,71.4,21.20%,25.30%,31%,71.4
18-370_S171_L004_R1_001_val_1,Trim_3,18-370,P-15-A,Patch-Heated-Patch,Adult,High Molecular Weight,20200812,20210426,8.00%,0.90%,1.50%,394.8,11.60%,38.60%,93,3.0X,4.7X,23.20%,18.80%,32%,65.2,22.90%,18.00%,31%,65.2
18-394_S192_L004_R1_001_val_1,Trim_3,18-394,P-9-B,Patch-Ambient-Rim,Adult,High Molecular Weight,20200812,20210504,7.40%,0.60%,1.10%,311.2,11.90%,36.40%,96,2.0X,3.7X,18.60%,17.30%,30%,50.7,18.40%,16.90%,29%,50.7
18-406_S177_L004_R1_001_val_1,Trim_3,18-406,R-15-A,Rim-Heated-Patch,Adult,High Molecular Weight,20200812,20210428,7.50%,0.60%,1.00%,407.6,12.10%,38.10%,94,2.0X,4.9X,18.30%,16.70%,28%,64,18.10%,16.40%,29%,64
18-418_S196_L004_R1_001_val_1,Trim_3,18-418,R-9-A,Rim-Ambient-Patch,Adult,High Molecular Weight,20200812,20210506,7.70%,0.60%,1.10%,378.5,15.40%,38.40%,93,2.0X,4.5X,20.20%,20.60%,30%,62.8,20.00%,20.60%,30%,62.8
18-44_S198_L004_R1_001_val_1,Trim_3,18-44,R-19-B,Rim-Heated-Rim,Adult,High Molecular Weight,20200819,20210506,7.80%,0.60%,0.90%,437.2,14.70%,35.60%,106,2.0X,5.0X,15.10%,20.70%,28%,68.2,15.00%,20.80%,28%,68.2
18-442_S165_L004_R1_001_val_1,Trim_3,18-442,R-9-B,Rim-Ambient-Rim,Adult,High Molecular Weight,20200807,20210422,8.30%,0.80%,1.10%,540.6,17.00%,31.20%,128,3.0X,5.7X,10.30%,21.40%,25%,85.3,10.30%,20.70%,25%,85.3
18-454_S197_L004_R1_001_val_1,Trim_3,18-454,P-12-A,Patch-Heated-Patch,Adult,High Molecular Weight,20200807,20210506,8.00%,0.50%,1.00%,509.7,18.60%,39.10%,98,4.0X,6.1X,17.30%,22.80%,28%,81.6,17.10%,23.00%,29%,81.6
18-466_S199_L004_R1_001_val_1,Trim_3,18-466,R-15-B,Rim-Heated-Rim,Adult,High Molecular Weight,20200807,20210506,7.40%,0.50%,0.80%,533.8,24.90%,33.70%,122,3.0X,5.8X,11.30%,29.10%,26%,88.6,11.20%,29.20%,27%,88.6
18-55_S190_L004_R1_001_val_1,Trim_3,18-55,R-7-A,Rim-Ambient-Patch,Adult,High Molecular Weight,20200821,20210504,7.20%,0.50%,1.00%,390.3,12.50%,38.20%,95,2.0X,4.7X,18.40%,19.00%,29%,61.7,18.30%,18.70%,29%,61.7
18-67_S176_L004_R1_001_val_1,Trim_3,18-67,P-14-B,Patch-Heated-Rim,Adult,High Molecular Weight,20200813,20210426,7.90%,0.60%,1.30%,300.1,10.60%,33.30%,93,2.0X,3.5X,28.40%,24.70%,35%,62,27.70%,23.30%,34%,62
18-79_S181_L004_R1_001_val_1,Trim_3,18-79,R-14-A,Rim-Heated-Patch,Adult,High Molecular Weight,20200819,20210428,7.40%,0.60%,1.20%,485.7,13.10%,38.30%,89,3.0X,6.1X,19.20%,17.20%,29%,80.8,19.00%,16.80%,29%,80.8
18-9_S159_L004_R1_001_val_1,Trim_3,18-9_,P-4-B,Patch-Ambient-Rim,Adult,High Molecular Weight,20200813,20210415,8.50%,1.60%,2.40%,119.4,11.80%,31.60%,86,0.0X,1.5X,46.90%,15.70%,42%,47.7,42.70%,16.80%,41%,47.7
18-91_S160_L004_R1_001_val_1,Trim_3,18-91,R-14-B,Rim-Heated-Rim,Adult,High Molecular Weight,20200813,20210415,7.80%,1.40%,2.00%,139.4,10.60%,30.80%,103,0.0X,1.6X,35.30%,11.10%,37%,35.3,32.10%,11.20%,37%,35.3
L-1038_S184_L004_R1_001_val_1,Trim_3,L-1038,R-8-A,Rim-Ambient-Patch,Larvae,High Molecular Weight,20200813,20210428,7.70%,0.60%,1.10%,315.1,10.80%,39.60%,85,2.0X,3.9X,21.10%,14.70%,29%,51.4,20.80%,14.40%,29%,51.4
L-1053_S167_L004_R1_001_val_1,Trim_3,L-1053,P-12-A,Patch-Heated-Patch,Larvae,High Molecular Weight,20200812,20210422,8.70%,0.80%,1.00%,432.2,15.30%,40.90%,103,3.0X,4.9X,15.80%,19.30%,27%,60.1,15.70%,19.20%,27%,60.1
L-1059_S175_L004_R1_001_val_1,Trim_3,L-1059,R-15-A,Rim-Heated-Patch,Larvae,High Molecular Weight,20200813,20210426,7.20%,0.60%,1.00%,530,15.20%,42.00%,86,3.0X,6.6X,23.80%,23.60%,31%,88.7,23.60%,23.10%,31%,88.7
L-1093_S168_L004_R1_001_val_1,Trim_3,L-1093,R-19-A,Rim-Heated-Patch,Larvae,High Molecular Weight,20200819,20210422,8.40%,0.80%,1.00%,487.2,15.10%,39.90%,107,3.0X,5.5X,13.30%,19.40%,26%,66.1,13.20%,19.00%,26%,66.1
